url,protocol,twitter_handle
https://defillama.com/protocol/the-don-finance,The Don Finance,https://twitter.com/TheDonFinance1
https://defillama.com/protocol/taichi,TaiChi,https://twitter.com/TaiChi_Dao_
https://defillama.com/protocol/summer.fi,Summer.fi,https://twitter.com/summerfinance_
https://defillama.com/protocol/gumball-protocol,GumBall Protocol,https://twitter.com/GumBallProtocol
https://defillama.com/protocol/algoblocks,AlgoBlocks,https://twitter.com/Algoblockstrade
https://defillama.com/protocol/ease.org,Ease.org,https://twitter.com/EaseDeFi
https://defillama.com/protocol/liquix,LiquiX,https://twitter.com/liqui_x
https://defillama.com/protocol/xweowns,xWeowns,https://twitter.com/Weownomy1
https://defillama.com/protocol/omnipool,Omnipool,https://twitter.com/Omnipool_app
https://defillama.com/protocol/fortune-dao,Fortune DAO,https://twitter.com/Fortune_DAO
https://defillama.com/protocol/depth,Depth,https://twitter.com/DepthFi
https://defillama.com/protocol/czodiac,CZODIAC,https://twitter.com/zodiacs_c
https://defillama.com/protocol/elk,Elk,https://twitter.com/elk_finance
https://defillama.com/protocol/venus,Venus,https://twitter.com/VenusProtocol
https://defillama.com/protocol/bomb-finance,Bomb Finance,https://twitter.com/fBombOpera
https://defillama.com/protocol/fyde-protocol,Fyde Protocol,https://twitter.com/FydeTreasury
https://defillama.com/protocol/vela-exchange,Vela Exchange,https://twitter.com/vela_exchange
https://defillama.com/protocol/keep-network,KEEP Network,missing
https://defillama.com/protocol/rfox,RFOX,https://twitter.com/RFOX_Official
https://defillama.com/protocol/tendieswap,TendieSwap,https://twitter.com/tendie_swap
https://defillama.com/protocol/velhalla,Velhalla,https://twitter.com/velhallaproject
https://defillama.com/protocol/zyxswap,ZYXSwap,https://twitter.com/zyx_swap
https://defillama.com/protocol/metaversepro,Metaversepro,https://twitter.com/MetaverseProDAO
https://defillama.com/protocol/mesher,Mesher,https://twitter.com/mesherOfficial
https://defillama.com/protocol/inbuilt-finance,Inbuilt Finance,https://twitter.com/Inbuiltfinance
https://defillama.com/protocol/libero-financial,Libero Financial,https://twitter.com/LiberoFinancial
https://defillama.com/protocol/dodo,DODO,https://twitter.com/BreederDodo
https://defillama.com/protocol/beluga,Beluga,https://twitter.com/beluga_fi
https://defillama.com/protocol/lootswap,LootSwap,https://twitter.com/lootswapfinance
https://defillama.com/protocol/onyx-protocol,Onyx Protocol,https://twitter.com/OnyxProtocol
https://defillama.com/protocol/orion-money,Orion Money,https://twitter.com/orion_money
https://defillama.com/protocol/babylon-finance,Babylon Finance,https://twitter.com/BabylonFinance
https://defillama.com/protocol/1bch,1BCH,https://twitter.com/1BCHOfficial
https://defillama.com/protocol/friend.tech,friend.tech,https://twitter.com/friendtech
https://defillama.com/protocol/purefi,PureFi,https://twitter.com/Purefi_Protocol
https://defillama.com/protocol/yieldhub-finance,YieldHub Finance,https://twitter.com/YieldHubFinance
https://defillama.com/protocol/defo,DeFO,https://twitter.com/DefoWorld
https://defillama.com/protocol/elasticswap,ElasticSwap,https://twitter.com/ElasticSwap
https://defillama.com/protocol/incognito,Incognito,https://twitter.com/incognito_dex
https://defillama.com/protocol/openswap-vsl,Openswap VSL,https://twitter.com/Openswap_
https://defillama.com/protocol/munchables,Munchables,https://twitter.com/_munchables_
https://defillama.com/protocol/oaswap,Oaswap,https://twitter.com/oaswap
https://defillama.com/protocol/rook,Rook,https://twitter.com/rook
https://defillama.com/protocol/nayms,Nayms,https://twitter.com/nayms
https://defillama.com/protocol/crafting-finance,Crafting Finance,https://twitter.com/CraftingFinance
https://defillama.com/protocol/laari-finance,Laari Finance,https://twitter.com/LaariFinance
https://defillama.com/protocol/3xcalibur,3xcalibur,https://twitter.com/3xcalibur69
https://defillama.com/protocol/ratio-finance,Ratio Finance,https://twitter.com/RatioFinance
https://defillama.com/protocol/soarpls,SoarPLS,missing
https://defillama.com/protocol/nolus-protocol,Nolus Protocol,https://twitter.com/NolusProtocol
https://defillama.com/protocol/partial-finance,Partial Finance,https://twitter.com/PartialFinance
https://defillama.com/protocol/milkydex,Milkydex,https://twitter.com/milky_dex
https://defillama.com/protocol/roguex,Roguex,https://twitter.com/Roguex_io
https://defillama.com/protocol/hiyield,HiYield,https://twitter.com/hiyield_xyz
https://defillama.com/protocol/growth-defi,Growth DeFi,https://twitter.com/GrowthDefi
https://defillama.com/protocol/humble-defi,Humble Defi,https://twitter.com/HumbleDefi
https://defillama.com/protocol/xbank-finance,xBank Finance,https://twitter.com/xBankFinance
https://defillama.com/protocol/skcs,sKCS,https://twitter.com/sKCS_io
https://defillama.com/protocol/bluemeteor,BlueMeteor,https://twitter.com/bluemeteorpls
https://defillama.com/protocol/saucerswap,SaucerSwap,https://twitter.com/SaucerSwapLabs
https://defillama.com/protocol/kdlaunch,KDLaunch,https://twitter.com/KdLaunch
https://defillama.com/protocol/sandyswap,SandySwap,https://twitter.com/sandyswapxyz
https://defillama.com/protocol/0x,0x,https://twitter.com/0xProject
https://defillama.com/protocol/filet-finance,Filet Finance,https://twitter.com/Filet_finance
https://defillama.com/protocol/evmos-dao,Evmos DAO,https://twitter.com/EvmosDAO
https://defillama.com/protocol/unibot,Unibot,https://twitter.com/TeamUnibot
https://defillama.com/protocol/hyperliquid,Hyperliquid,https://twitter.com/HyperliquidX
https://defillama.com/protocol/pulse-rate,Pulse Rate,https://twitter.com/PulseRate_
https://defillama.com/protocol/banx,Banx,https://twitter.com/banx_gg
https://defillama.com/protocol/jaypeggers,Jaypeggers,https://twitter.com/jay_peggers
https://defillama.com/protocol/drift,Drift,https://twitter.com/DriftProtocol
https://defillama.com/protocol/nata-network,Nata Network,https://twitter.com/nata_network_io
https://defillama.com/protocol/bluewhale,Bluewhale,https://twitter.com/BWPM_official
https://defillama.com/protocol/cafeswap,CafeSwap,https://twitter.com/CafeSwapFinance
https://defillama.com/protocol/artemis-protocol,Artemis Protocol,https://twitter.com/ArtemisProtoco1
https://defillama.com/protocol/instadapp,Instadapp,https://twitter.com/Instadapp
https://defillama.com/protocol/sherlock,Sherlock,https://twitter.com/Sherlock_DeFi
https://defillama.com/protocol/juicebox,Juicebox,https://twitter.com/juiceboxETH
https://defillama.com/protocol/arbswap,Arbswap,https://twitter.com/ArbswapOfficial
https://defillama.com/protocol/coslend,Coslend,https://twitter.com/coslend
https://defillama.com/protocol/manhattan,Manhattan,missing
https://defillama.com/protocol/autotronic,Autotronic,https://twitter.com/autotronicbase
https://defillama.com/protocol/black-panther,Black Panther,https://twitter.com/BlackPanther_Fi
https://defillama.com/protocol/emberswap,EmberSwap,https://twitter.com/EmberSwapDEX
https://defillama.com/protocol/cofix,CoFiX,https://twitter.com/CoFiXProtocol
https://defillama.com/protocol/blasterswap,Blasterswap,https://twitter.com/BlasterSwap
https://defillama.com/protocol/pinkpea-finance,PinkPea Finance,https://twitter.com/PinkPeaFinance
